District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
etiwanda elementary,1786.0,13599.0,0.1313331862636958,73.7,4.2,13.8,1.0,7.2,0,175,0.0979843225083986,0,0.0,172,0.0963045912653975,56,0.0313549832026875,915,0.5123180291153415,50,0.0279955207166853,0,0.0,101,0.0565509518477043,308,0.1724524076147816,CA,21,ETIWANDA,0
eureka union,379.0,3315.0,0.1143288084464555,77.6,6.6,7.4,1.6,6.9,0,0,0.0,0,0.0,28,0.0738786279683377,0,0.0,64,0.1688654353562005,0,0.0,0,0.0,51,0.1345646437994723,220,0.5804749340369393,CA,21,GRANITE BAY,0
fairfield-suisun unified,3119.0,20413.0,0.1527947876353304,60.4,12.0,16.5,2.4,8.8,0,551,0.1766591856364219,0,0.0,113,0.0362295607566527,172,0.0551458800897723,1484,0.4757935235652453,0,0.0,16,0.0051298493106764,280,0.0897723629368387,489,0.1567810195575505,CA,12,FAIRFIELD,1
folsom-cordova unified,2911.0,21075.0,0.1381257413997627,50.9,21.2,17.9,2.9,7.1,0,231,0.0793541738234283,0,0.0,292,0.1003091721058055,69,0.0237031947784266,854,0.2933699759532807,0,0.0,21,0.0072140158021298,388,0.1332875300583991,1044,0.3586396427344555,CA,13,FOLSOM,1
fremont unified,3505.0,33063.0,0.1060097389831533,55.9,13.8,19.7,5.4,5.2,0,157,0.044793152639087,15,0.0042796005706134,1265,0.3609129814550642,161,0.0459343794579172,1294,0.3691868758915834,30,0.0085592011412268,22,0.0062767475035663,137,0.0390870185449358,424,0.1209700427960057,CA,12,FREMONT,1
fremont union high,971.0,9646.0,0.1006634874559402,46.5,42.9,6.4,4.1,0.0,0,22,0.0226570545829042,0,0.0,262,0.2698249227600412,20,0.0205973223480947,409,0.4212152420185376,14,0.0144181256436663,0,0.0,75,0.0772399588053553,160,0.164778578784758,CA,13,SUNNYVALE,2
fresno county office of education,1034.0,4130.0,0.250363196125908,39.2,4.2,36.3,17.8,2.6,0,67,0.0647969052224371,0,0.0,51,0.0493230174081237,0,0.0,757,0.7321083172147002,0,0.0,0,0.0,30,0.0290135396518375,111,0.1073500967117988,CA,11,FRESNO,3
fresno unified,10097.0,71480.0,0.1412562954672635,56.4,11.3,23.1,2.9,6.3,0,892,0.0883430721996632,82,0.008121224125978,816,0.0808160839853421,22,0.0021788650094087,7027,0.6959492918688719,0,0.0,97,0.0096068139051203,345,0.0341685649202733,814,0.0806180053481232,CA,11,FRESNO,1
fruitvale elementary,407.0,3078.0,0.1322287199480182,61.9,25.3,3.4,0.2,9.1,0,24,0.0589680589680589,0,0.0,0,0.0,0,0.0,213,0.5233415233415234,0,0.0,0,0.0,15,0.0368550368550368,130,0.3194103194103194,CA,11,BAKERSFIELD,1
fullerton joint union high,1388.0,12826.0,0.108217682831748,53.6,29.9,14.0,2.4,0.0,0,33,0.0237752161383285,0,0.0,68,0.0489913544668587,16,0.0115273775216138,1046,0.7536023054755043,25,0.0180115273775216,0,0.0,49,0.0353025936599423,144,0.1037463976945245,CA,12,FULLERTON,2
